loss,mae,mape,mse,val_loss,val_mae,val_mape,val_mse
0.0343409925699234,0.11501500755548477,162.36297607421875,0.0343409925699234,0.017072517424821854,0.08323632925748825,131.18418884277344,0.017072517424821854
0.015842612832784653,0.08032747358083725,138.56768798828125,0.015842612832784653,0.013775364495813847,0.07446393370628357,83.0330810546875,0.013775364495813847
0.012893488630652428,0.07208529859781265,121.14160919189453,0.012893488630652428,0.01228416059166193,0.07008837163448334,63.606876373291016,0.01228416059166193
0.011184928007423878,0.06652601808309555,122.78816223144531,0.011184928007423878,0.011426630429923534,0.06706362962722778,81.29457092285156,0.011426630429923534
0.010070046409964561,0.06299439817667007,108.27943420410156,0.010070046409964561,0.010023921728134155,0.06327354162931442,58.90678405761719,0.010023921728134155
0.009330511093139648,0.060248058289289474,99.5545883178711,0.009330511093139648,0.009624180383980274,0.060922279953956604,92.3846435546875,0.009624180383980274
0.008653313852846622,0.057929057627916336,109.73713684082031,0.008653313852846622,0.008538542315363884,0.05593457445502281,60.655662536621094,0.008538542315363884
0.00831902027130127,0.05630870535969734,73.9237060546875,0.00831902027130127,0.008017110638320446,0.054437246173620224,71.31078338623047,0.008017110638320446
0.007731720805168152,0.05446889251470566,98.60443115234375,0.007731720805168152,0.00877588614821434,0.0588621124625206,77.92577362060547,0.00877588614821434
0.007623336743563414,0.05380760505795479,79.75896453857422,0.007623336743563414,0.008385435678064823,0.057761263102293015,71.6689224243164,0.008385435678064823
0.007295968476682901,0.052686963230371475,77.40009307861328,0.007295968476682901,0.007355528883635998,0.051304057240486145,68.76896667480469,0.007355528883635998
0.007237314712256193,0.05224459245800972,81.75664520263672,0.007237314712256193,0.0075752646662294865,0.05299672111868858,49.04448699951172,0.0075752646662294865
0.006840093526989222,0.05088242143392563,79.57596588134766,0.006840093526989222,0.007046670187264681,0.05029086768627167,99.13870239257812,0.007046670187264681
0.0066691511310637,0.05032269284129143,75.51656341552734,0.0066691511310637,0.0072168149054050446,0.051826152950525284,74.86771392822266,0.0072168149054050446
0.006376451347023249,0.049168433994054794,69.56126403808594,0.006376451347023249,0.00687643326818943,0.04957680031657219,58.4808235168457,0.00687643326818943
0.00645459583029151,0.04931913688778877,86.74847412109375,0.00645459583029151,0.0072913034819066525,0.05075163394212723,88.17861938476562,0.0072913034819066525
